"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","10-May","1,879 (1,759 - 2,006)","1,441 (1,342 - 1,548)","437","2,220"
"","12-Jul","1,914 (1,796 - 2,039)","1,516 (1,423 - 1,616)","398","6,040"
"","","","","",""
"Depression","10-May","2,551 (2,386 - 2,729)","1,714 (1,586 - 1,852)","838","4,240"
"","12-Jul","2,636 (2,472 - 2,811)","1,863 (1,741 - 1,993)","773","11,600"
"","","","","",""
"Eating Disorders","10-May","47 (44 - 51)","37 (34 - 40)","<100","<100"
"","12-Jul","48 (45 - 51)","40 (38 - 43)","<10","138"
"","","","","",""
"OCD","10-May","29 (27 - 32)","25 (23 - 27)","<10","<100"
"","12-Jul","31 (29 - 33)","27 (25 - 29)","<10","<100"
"","","","","",""
"Self-harm","10-May","339 (316 - 364)","193 (179 - 208)","146","722"
"","12-Jul","423 (397 - 451)","242 (226 - 258)","182","2,280"
"","","","","",""
"Severe Mental Illness","10-May","194 (183 - 205)","175 (165 - 187)","<100","<100"
"","12-Jul","207 (196 - 218)","187 (177 - 198)","<100","266"
"","","","","",""
