"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","28-Mar","979 (302 - 3,174)","1,843 (1,687 - 2,013)","-864","-3,980"
"","25-Apr","823 (247 - 2,742)","1,716 (1,527 - 1,929)","-893","-7,340"
"","","","","",""
"Depression","28-Mar","1,285 (369 - 4,471)","2,345 (2,135 - 2,575)","-1,060","-4,720"
"","25-Apr","1,032 (287 - 3,710)","2,138 (1,888 - 2,421)","-1,110","-8,790"
"","","","","",""
"Eating Disorders","28-Mar","25 (6 - 96)","59 (54 - 66)",">-100","-171"
"","25-Apr","23 (6 - 91)","57 (50 - 65)",">-100","-305"
"","","","","",""
"OCD","28-Mar","18 (3 - 98)","32 (28 - 37)",">-100",">-100"
"","25-Apr","14 (2 - 82)","29 (24 - 34)",">-100","-121"
"","","","","",""
"Self-harm","28-Mar","113 (29 - 432)","237 (215 - 262)","-124","-699"
"","25-Apr","113 (29 - 448)","207 (181 - 237)",">-100","-1,120"
"","","","","",""
"Severe Mental Illness","28-Mar","104 (34 - 318)","189 (174 - 206)",">-100","-447"
"","25-Apr","90 (28 - 283)","163 (145 - 182)",">-100","-745"
"","","","","",""
