"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","14-Mar","1,016 (336 - 3,072)","1,780 (1,626 - 1,948)","-764","-3,560"
"","25-Apr","835 (257 - 2,710)","1,722 (1,540 - 1,927)","-888","-8,530"
"","","","","",""
"Depression","14-Mar","1,312 (409 - 4,213)","2,232 (2,029 - 2,456)","-920","-4,180"
"","25-Apr","1,037 (298 - 3,604)","2,140 (1,901 - 2,410)","-1,100","-10,300"
"","","","","",""
"Eating Disorders","14-Mar","27 (7 - 96)","58 (53 - 65)",">-100","-152"
"","25-Apr","24 (6 - 93)","58 (51 - 65)",">-100","-348"
"","","","","",""
"OCD","14-Mar","18 (4 - 90)","31 (27 - 35)",">-100",">-100"
"","25-Apr","14 (3 - 78)","29 (24 - 34)",">-100","-145"
"","","","","",""
"Self-harm","14-Mar","119 (34 - 423)","255 (230 - 283)","-136","-710"
"","25-Apr","117 (30 - 452)","210 (184 - 238)",">-100","-1,370"
"","","","","",""
"Severe Mental Illness","14-Mar","111 (39 - 322)","193 (177 - 210)",">-100","-419"
"","25-Apr","94 (30 - 291)","164 (148 - 183)",">-100","-864"
"","","","","",""
