"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","24-May","1,889 (1,805 - 1,978)","1,466 (1,401 - 1,535)","423","2,160"
"","26-Jul","1,924 (1,841 - 2,011)","1,536 (1,474 - 1,602)","388","5,880"
"","","","","",""
"Depression","24-May","2,549 (2,434 - 2,670)","1,749 (1,670 - 1,832)","800","4,090"
"","26-Jul","2,651 (2,534 - 2,773)","1,903 (1,824 - 1,985)","748","11,300"
"","","","","",""
"Eating Disorders","24-May","47 (45 - 50)","38 (36 - 40)","<10","<100"
"","26-Jul","48 (46 - 51)","42 (40 - 44)","<10","125"
"","","","","",""
"OCD","24-May","29 (28 - 31)","26 (24 - 27)","<10","<100"
"","26-Jul","31 (29 - 32)","28 (26 - 29)","<10","<100"
"","","","","",""
"Self-harm","24-May","353 (334 - 374)","202 (191 - 214)","151","750"
"","26-Jul","434 (411 - 459)","245 (233 - 258)","189","2,430"
"","","","","",""
"Severe Mental Illness","24-May","194 (186 - 202)","177 (170 - 184)","<100","<100"
"","26-Jul","207 (199 - 215)","188 (181 - 195)","<100","251"
"","","","","",""
