"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","24-May","1,874 (1,754 - 2,002)","1,467 (1,366 - 1,575)","407","2,080"
"","26-Jul","1,912 (1,794 - 2,038)","1,539 (1,445 - 1,640)","373","5,670"
"","","","","",""
"Depression","24-May","2,538 (2,373 - 2,716)","1,762 (1,631 - 1,903)","777","3,970"
"","26-Jul","2,627 (2,463 - 2,802)","1,905 (1,782 - 2,037)","722","10,900"
"","","","","",""
"Eating Disorders","24-May","47 (44 - 51)","38 (35 - 41)","<10","<100"
"","26-Jul","48 (44 - 51)","42 (39 - 45)","<10","119"
"","","","","",""
"OCD","24-May","29 (27 - 31)","26 (24 - 28)","<10","<100"
"","26-Jul","30 (28 - 33)","28 (26 - 30)","<10","<100"
"","","","","",""
"Self-harm","24-May","340 (317 - 365)","200 (185 - 215)","141","699"
"","26-Jul","425 (398 - 453)","247 (232 - 264)","177","2,270"
"","","","","",""
"Severe Mental Illness","24-May","193 (182 - 204)","177 (166 - 188)","<100","<100"
"","26-Jul","206 (195 - 217)","188 (178 - 199)","<100","234"
"","","","","",""
