"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","10-May","1,876 (1,752 - 2,009)","1,437 (1,340 - 1,540)","439","2,230"
"","12-Jul","1,915 (1,791 - 2,047)","1,516 (1,422 - 1,615)","399","6,070"
"","","","","",""
"Depression","10-May","2,542 (2,371 - 2,725)","1,697 (1,581 - 1,820)","845","4,270"
"","12-Jul","2,645 (2,471 - 2,831)","1,861 (1,744 - 1,986)","783","11,800"
"","","","","",""
"Eating Disorders","10-May","47 (44 - 51)","36 (34 - 39)","<100","<100"
"","12-Jul","48 (45 - 52)","40 (38 - 43)","<10","139"
"","","","","",""
"OCD","10-May","29 (27 - 32)","25 (23 - 27)","<10","<100"
"","12-Jul","31 (28 - 33)","27 (25 - 29)","<10","<100"
"","","","","",""
"Self-harm","10-May","349 (324 - 375)","195 (181 - 210)","154","752"
"","12-Jul","427 (397 - 458)","239 (223 - 256)","188","2,380"
"","","","","",""
"Severe Mental Illness","10-May","194 (183 - 206)","175 (165 - 186)","<100","<100"
"","12-Jul","207 (195 - 219)","187 (177 - 198)","<100","271"
"","","","","",""
