"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","26-Apr","1,837 (1,725 - 1,956)","1,375 (1,281 - 1,476)","462","2,420"
"","28-Jun","2,008 (1,877 - 2,148)","1,561 (1,463 - 1,664)","448","6,520"
"","","","","",""
"Depression","26-Apr","2,468 (2,315 - 2,631)","1,594 (1,483 - 1,713)","874","4,600"
"","28-Jun","2,777 (2,593 - 2,974)","1,903 (1,782 - 2,032)","874","12,500"
"","","","","",""
"Eating Disorders","26-Apr","45 (42 - 49)","33 (31 - 36)","<100","<100"
"","28-Jun","49 (46 - 53)","40 (37 - 43)","<10","163"
"","","","","",""
"OCD","26-Apr","29 (27 - 31)","23 (21 - 25)","<10","<100"
"","28-Jun","31 (29 - 34)","26 (24 - 28)","<10","<100"
"","","","","",""
"Self-harm","26-Apr","336 (314 - 359)","178 (165 - 193)","157","801"
"","28-Jun","453 (421 - 487)","245 (228 - 262)","209","2,460"
"","","","","",""
"Severe Mental Illness","26-Apr","190 (180 - 201)","167 (157 - 178)","<100","123"
"","28-Jun","211 (199 - 224)","187 (177 - 198)","<100","336"
"","","","","",""
