"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","24-May","1,867 (1,748 - 1,994)","1,468 (1,367 - 1,576)","400","2,040"
"","26-Jul","1,905 (1,788 - 2,030)","1,540 (1,446 - 1,641)","365","5,560"
"","","","","",""
"Depression","24-May","2,524 (2,359 - 2,700)","1,762 (1,631 - 1,903)","762","3,900"
"","26-Jul","2,613 (2,450 - 2,786)","1,907 (1,783 - 2,039)","706","10,700"
"","","","","",""
"Eating Disorders","24-May","47 (44 - 50)","38 (35 - 41)","<10","<100"
"","26-Jul","47 (44 - 51)","42 (39 - 45)","<10","113"
"","","","","",""
"OCD","24-May","29 (27 - 31)","26 (24 - 28)","<10","<100"
"","26-Jul","30 (28 - 33)","28 (26 - 30)","<10","<100"
"","","","","",""
"Self-harm","24-May","332 (309 - 357)","201 (186 - 217)","131","652"
"","26-Jul","414 (388 - 443)","249 (233 - 266)","165","2,120"
"","","","","",""
"Severe Mental Illness","24-May","192 (181 - 203)","177 (166 - 188)","<100","<100"
"","26-Jul","205 (194 - 216)","188 (178 - 199)","<100","221"
"","","","","",""
