"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","26-Apr","1,844 (1,735 - 1,959)","1,383 (1,286 - 1,489)","460","2,410"
"","28-Jun","2,007 (1,885 - 2,138)","1,562 (1,466 - 1,665)","445","6,490"
"","","","","",""
"Depression","26-Apr","2,490 (2,340 - 2,651)","1,621 (1,496 - 1,756)","869","4,560"
"","28-Jun","2,769 (2,597 - 2,953)","1,907 (1,782 - 2,041)","862","12,400"
"","","","","",""
"Eating Disorders","26-Apr","46 (43 - 49)","34 (31 - 37)","<100","<100"
"","28-Jun","49 (46 - 53)","40 (37 - 43)","<10","161"
"","","","","",""
"OCD","26-Apr","29 (27 - 31)","23 (21 - 25)","<10","<100"
"","28-Jun","31 (29 - 33)","26 (24 - 28)","<10","<100"
"","","","","",""
"Self-harm","26-Apr","331 (310 - 354)","180 (166 - 195)","151","772"
"","28-Jun","445 (418 - 475)","246 (230 - 262)","200","2,350"
"","","","","",""
"Severe Mental Illness","26-Apr","190 (180 - 201)","167 (157 - 179)","<100","122"
"","28-Jun","210 (199 - 222)","187 (177 - 197)","<100","333"
"","","","","",""
