"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","28-Feb","1,941 (1,302 - 2,893)","1,871 (1,677 - 2,088)","<100","731"
"","25-Apr","1,546 (834 - 2,866)","1,743 (1,541 - 1,971)","-197","<100"
"","","","","",""
"Depression","28-Feb","2,540 (1,678 - 3,844)","2,358 (2,105 - 2,641)","182","1,460"
"","25-Apr","1,932 (1,003 - 3,723)","2,145 (1,889 - 2,436)","-213","1,050"
"","","","","",""
"Eating Disorders","28-Feb","70 (44 - 110)","59 (52 - 67)","<100","<100"
"","25-Apr","64 (31 - 129)","59 (51 - 67)","<10","116"
"","","","","",""
"OCD","28-Feb","34 (21 - 58)","34 (29 - 39)","<10","<100"
"","25-Apr","24 (11 - 56)","29 (25 - 34)",">-10",">-10"
"","","","","",""
"Self-harm","28-Feb","265 (182 - 385)","242 (217 - 270)","<100","<100"
"","25-Apr","288 (160 - 518)","217 (192 - 246)","<100","462"
"","","","","",""
"Severe Mental Illness","28-Feb","192 (129 - 286)","206 (185 - 230)",">-100",">-100"
"","25-Apr","155 (86 - 279)","167 (147 - 191)",">-100","-171"
"","","","","",""
