"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","28-Feb","1,629 (1,177 - 2,256)","1,859 (1,701 - 2,031)","-229","-871"
"","25-Apr","1,317 (762 - 2,277)","1,706 (1,546 - 1,882)","-389","-3,400"
"","","","","",""
"Depression","28-Feb","2,073 (1,497 - 2,870)","2,341 (2,144 - 2,555)","-268","-977"
"","25-Apr","1,643 (941 - 2,868)","2,111 (1,917 - 2,326)","-468","-3,990"
"","","","","",""
"Eating Disorders","28-Feb","63 (44 - 90)","58 (52 - 64)","<10","<100"
"","25-Apr","62 (34 - 115)","58 (52 - 65)","<10","<100"
"","","","","",""
"OCD","28-Feb","33 (21 - 51)","33 (29 - 38)",">-10","<10"
"","25-Apr","26 (12 - 57)","29 (25 - 33)",">-10",">-100"
"","","","","",""
"Self-harm","28-Feb","243 (171 - 346)","241 (218 - 268)","<10",">-100"
"","25-Apr","262 (146 - 469)","216 (192 - 242)","<100","174"
"","","","","",""
"Severe Mental Illness","28-Feb","170 (125 - 231)","203 (186 - 222)",">-100","-178"
"","25-Apr","141 (85 - 233)","164 (148 - 182)",">-100","-397"
"","","","","",""
