"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","14-Mar","935 (315 - 2,780)","1,778 (1,634 - 1,935)","-842","-3,990"
"","25-Apr","773 (242 - 2,468)","1,719 (1,544 - 1,913)","-945","-9,370"
"","","","","",""
"Depression","14-Mar","1,144 (368 - 3,560)","2,225 (2,039 - 2,428)","-1,080","-5,080"
"","25-Apr","914 (271 - 3,085)","2,128 (1,903 - 2,380)","-1,210","-12,000"
"","","","","",""
"Eating Disorders","14-Mar","24 (6 - 85)","58 (53 - 64)",">-100","-168"
"","25-Apr","21 (5 - 84)","58 (51 - 64)",">-100","-381"
"","","","","",""
"OCD","14-Mar","16 (3 - 79)","31 (27 - 35)",">-100",">-100"
"","25-Apr","13 (2 - 68)","29 (24 - 33)",">-100","-162"
"","","","","",""
"Self-harm","14-Mar","106 (32 - 356)","256 (233 - 281)","-149","-766"
"","25-Apr","102 (28 - 370)","210 (185 - 238)","-108","-1,510"
"","","","","",""
"Severe Mental Illness","14-Mar","108 (38 - 304)","193 (178 - 210)",">-100","-437"
"","25-Apr","91 (30 - 274)","164 (147 - 183)",">-100","-901"
"","","","","",""
